Teaching evaluation data aggregated by department and broken down by sex, instructor type, and question Note: Only contains data from classes with enrollment of at least 40 (top quartile of class size)  If you are interested in viewing data for individual instructors or for individual courses, please reach out to Madeline Endres (endremad@umich.edu) and Westley Weimer (weimerw@umich.edu)												
Department of the data for any given row. See Sheet 2 for decoding these	Instructor Type: Professor, Not a Professer (e.g., TA), or All (Professor and Not a Professor) 	The sex of instructors in this row	The teaching evaluation question (or questions) considered in this row	The number of instructors aggregated in this row	Number of "Strong Disagree" ratings 	Number of "Disagree" ratings 	Number of "Neutral" ratings 	Number of "Agree" ratings 	Number of "Strong Agree" ratings 	Number of "Not Applicable" ratings 	Total number of ratings (not including NA ratings)	Average evaluation score for teachers aggregated in this row.  Note: Calculated by first calculating the score for each teacher using an Interpolated Median (http://aec.umich.edu/median.php). These scores are then averaged. Thus, this column will not equal the Interpolated Median of the raw data in columns SD-SA)
Department	Instructor Type	Instructor Sex	Question	Number of Instructors	1 (SD)	2 (D)	3 (N)	4 (A)	5 (SA)	NAs	Total	Average Teaching Score
AEROSP	All	Male	All Questions	17	91	316	617	1654	2551	196	5229	4.40032892
AEROSP	All	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	17	15	59	121	220	265	0	680	4.091082406
AEROSP	All	Male	My interest in the subject has increased because of this course.	17	21	65	98	227	266	1	677	4.059407459
AEROSP	All	Male	Overall, the instructor was an excellent teacher.	17	9	34	81	210	296	47	630	4.37619205
AEROSP	All	Male	Overall, this was an excellent course	17	23	51	113	216	276	0	679	4.131205912
AEROSP	All	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	17	5	40	72	212	304	46	633	4.394657891
AEROSP	All	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	17	6	24	50	163	379	55	622	4.55181788
AEROSP	All	Male	The instructor treated students with respect.	17	4	17	37	140	429	47	627	4.790412723
AEROSP	All	Male	This course advanced my understanding of the subject matter.	17	8	26	45	266	336	0	681	4.423248777
AEROSP	Professor	Male	All Questions	11	73	240	488	1269	1977	1	4047	4.387299013
AEROSP	Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	11	12	44	98	165	188	0	507	4.070791266
AEROSP	Professor	Male	My interest in the subject has increased because of this course.	11	18	47	74	171	194	1	504	4.063365542
AEROSP	Professor	Male	Overall, the instructor was an excellent teacher.	11	7	28	63	162	245	0	505	4.40278349
AEROSP	Professor	Male	Overall, this was an excellent course	11	18	37	91	159	201	0	506	4.109001794
AEROSP	Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	11	3	29	58	166	251	0	507	4.402927275
AEROSP	Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	11	3	16	37	131	319	0	506	4.573459389
AEROSP	Professor	Male	The instructor treated students with respect.	11	4	17	30	116	337	0	504	4.761216915
AEROSP	Professor	Male	This course advanced my understanding of the subject matter.	11	8	22	37	199	242	0	508	4.403383613
AEROSP	All	Female	All Questions	6	110	172	229	694	825	174	2030	4.191812223
AEROSP	Not a Professor	Male	All Questions	6	18	76	129	385	574	195	1182	4.424217084
AEROSP	All	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	6	15	39	36	93	92	1	275	3.939673046
AEROSP	Not a Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	6	3	15	23	55	77	0	173	4.128282828
AEROSP	All	Female	My interest in the subject has increased because of this course.	6	12	34	24	100	101	2	271	4.140913099
AEROSP	Not a Professor	Male	My interest in the subject has increased because of this course.	6	3	18	24	56	72	0	173	4.052150974
AEROSP	All	Female	Overall, the instructor was an excellent teacher.	6	16	19	37	80	83	41	235	4.042489035
AEROSP	Not a Professor	Male	Overall, the instructor was an excellent teacher.	6	2	6	18	48	51	47	125	4.327441077
AEROSP	All	Female	Overall, this was an excellent course	6	32	25	43	79	96	1	275	3.804019457
AEROSP	Not a Professor	Male	Overall, this was an excellent course	6	5	14	22	57	75	0	173	4.171913462
AEROSP	All	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	6	18	15	35	74	90	42	232	4.127425842
AEROSP	Not a Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	6	2	11	14	46	53	46	126	4.379497354
AEROSP	All	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	6	5	16	27	79	99	49	226	4.340145802
AEROSP	Not a Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	6	3	8	13	32	60	55	116	4.51214178
AEROSP	All	Female	The instructor treated students with respect.	6	4	8	13	69	146	36	240	4.623642748
AEROSP	Not a Professor	Male	The instructor treated students with respect.	6	0	0	7	24	92	47	123	4.843938372
AEROSP	All	Female	This course advanced my understanding of the subject matter.	6	8	16	14	120	118	2	276	4.347839506
AEROSP	Not a Professor	Male	This course advanced my understanding of the subject matter.	6	0	4	8	67	94	0	173	4.459668245
AEROSP	Professor	Female	All Questions	4	72	112	163	508	679	71	1534	4.230866299
AEROSP	Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	4	8	24	24	70	74	1	200	4.058373206
AEROSP	Professor	Female	My interest in the subject has increased because of this course.	4	8	22	18	70	79	2	197	4.147877585
AEROSP	Professor	Female	Overall, the instructor was an excellent teacher.	4	13	14	27	60	70	17	184	4.055921053
AEROSP	Professor	Female	Overall, this was an excellent course	4	19	15	28	56	82	1	200	3.936683948
AEROSP	Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	4	13	9	27	55	78	17	182	4.15780543
AEROSP	Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	4	3	11	17	63	87	19	181	4.431372549
